Epoch,Training Loss,Test Loss,Test Accuracy
1,2.182715789794922,1.9842180256358164,0.4453
2,1.9030168390274047,1.8561702474148687,0.479
3,1.8303163995742797,1.8094748422771156,0.4778
4,1.792011939406395,1.7764816419807024,0.504
5,1.7643784379959107,1.7524671511735745,0.4428
6,1.739884581565857,1.727753513587449,0.353
7,1.7176461298465728,1.7094742502281053,0.3586
8,1.7020834294557572,1.697202213510068,0.362
9,1.6919683609008789,1.6891232621883918,0.3668
10,1.6849964543581009,1.6841351079369733,0.3764
11,1.6798119622468948,1.6799786426350027,0.3712
12,1.6756967540979386,1.6764871938499861,0.393
13,1.6722410796880722,1.674151827475268,0.4587
14,1.6693144178390502,1.6722214122018415,0.48
15,1.6668867690563203,1.670515985545998,0.4893
16,1.664839235663414,1.6687198113538548,0.5017
17,1.659312728881836,1.655351970724003,0.54
18,1.6485553954839707,1.650679993058393,0.4875
19,1.6391909766197204,1.637881867186038,0.4884
20,1.6309403975009917,1.633240661935178,0.4906
