Iteration,15th percentile,50th percentile,85th percentile
1,-0.274539328,0.027794341,0.316221443
2,-0.274892899,0.023342703,0.312846297
3,-0.275495969,0.017874423,0.312622783
4,-0.274417181,0.012454427,0.310001642
5,-0.273332462,0.00934514,0.306069519
6,-0.271122815,0.007573334,0.305073108
7,-0.273244545,0.006152598,0.305096802
8,-0.274618821,0.00524432,0.304539312
9,-0.276630685,0.003446307,0.306431559
10,-0.280892453,0.002352869,0.306882021
11,-0.283142233,0.00058689,0.30434197
12,-0.284286357,0.000669677,0.306152152
13,-0.284339915,-0.000174977,0.309998077
14,-0.287303565,-4.94E-05,0.310213907
15,-0.287220788,-0.000281025,0.31134157
16,-0.289061967,0.000528028,0.314290228
17,-0.291073534,0.001084305,0.317781211
18,-0.292809741,-0.000228606,0.318533289
19,-0.295163409,0.001018666,0.320893325
20,-0.296105477,0.001460853,0.320167106
21,-0.297368844,0.001897626,0.322128356
22,-0.298565063,0.001817334,0.321950553
23,-0.303625762,0.003613895,0.321240707
24,-0.30380986,0.003286066,0.320490071
25,-0.305756819,0.004464224,0.320063639
26,-0.310056394,0.006185461,0.319461659
27,-0.313748299,0.00698963,0.319521436
28,-0.317182493,0.007997898,0.317307413
29,-0.31704234,0.012547068,0.316142586
30,-0.317765754,0.01266944,0.316813648
31,-0.319198851,0.014550606,0.315383048
32,-0.318356293,0.01549899,0.316423856
33,-0.318631452,0.018067419,0.312979937
34,-0.320170633,0.018278528,0.314925607
35,-0.321498317,0.016667115,0.314855054
36,-0.319915357,0.016547114,0.313783854
37,-0.320546699,0.016098039,0.31243256
38,-0.320622924,0.017996622,0.312970163
39,-0.323197004,0.015711606,0.311910476
40,-0.321618639,0.016251902,0.31312934
41,-0.32503279,0.01490027,0.311413138
42,-0.325710082,0.013440323,0.312510695
43,-0.327441244,0.014264844,0.311215822
44,-0.328332281,0.013716737,0.309160207
45,-0.329975773,0.012924737,0.309507784
46,-0.330903073,0.012619206,0.309593658
47,-0.33046432,0.012568215,0.309355852
48,-0.334409647,0.012923882,0.308566596
49,-0.332745342,0.012931605,0.305768935
50,-0.333710536,0.011293911,0.307183054
51,-0.334657878,0.011313732,0.305363144
52,-0.335222232,0.011777895,0.305711673
53,-0.333199723,0.011077211,0.306820607
54,-0.336935613,0.009746381,0.305904268
55,-0.336219831,0.010447021,0.30770207
56,-0.33501749,0.010362907,0.307444666
57,-0.340163982,0.005979623,0.30581018
58,-0.337727167,0.008727805,0.308515814
59,-0.342852959,0.006317228,0.30876317
60,-0.340591364,0.005021736,0.308242059
61,-0.336898203,0.006840224,0.308084382
62,-0.339266667,0.00900752,0.308137918
63,-0.339472087,0.008318588,0.306957479
64,-0.337377907,0.00657603,0.306748137
65,-0.333682913,0.008893021,0.307608306
66,-0.335646582,0.009089503,0.306237099
67,-0.334400649,0.009655577,0.307379466
68,-0.339096233,0.007156402,0.307156532
69,-0.337377311,0.006155973,0.306669374
70,-0.338180947,0.006879597,0.308915272
71,-0.341490397,0.006819362,0.308224343
72,-0.339578049,0.008889788,0.311264643
73,-0.341014946,0.009227578,0.311932532
74,-0.33657528,0.008661257,0.310613634
75,-0.339579338,0.008169909,0.31289677
76,-0.338467145,0.009431126,0.311764354
77,-0.340628037,0.010547996,0.314790112
78,-0.341060866,0.009142901,0.313413253
79,-0.340820943,0.010755249,0.312037937
