Epoch,Training Loss,Test Loss,Test Accuracy
1,2.028006082653999,1.90128915538331,0.8885
2,1.8350822463035583,1.7628107713368124,0.9114
3,1.721543937921524,1.6748953665088038,0.926
4,1.6481675071716309,1.6156186486432653,0.9358
5,1.6010827903747558,1.578866333304765,0.9438
6,1.5697229677438735,1.5557502900768896,0.9513
7,1.548861574649811,1.5383471329055147,0.9536
8,1.5339164274930954,1.5274143625876146,0.9576
9,1.5231354048252106,1.517272139737706,0.9594
10,1.5151155121326447,1.5114198880281278,0.961
11,1.5088158456087113,1.5070405463258663,0.9624
12,1.5043477272987367,1.503593526914448,0.9642
13,1.500123356938362,1.5031412397316115,0.9619
14,1.496924500823021,1.4973873763741135,0.9675
15,1.494136879324913,1.4965749979019165,0.9673
16,1.492097581267357,1.4957321204111247,0.966
17,1.4898793283700944,1.495538549508877,0.9666
18,1.4884277766942977,1.4922318665567273,0.9704
19,1.4869578697681427,1.4921872951313406,0.9705
20,1.485533746123314,1.4899555780216605,0.9716
