Iteration,15th percentile,50th percentile,85th percentile
1,-1.048190802,0.010882133,1.059516585
2,-1.037704962,0.001041764,1.045170259
3,-1.051836628,-0.003983673,1.052471668
4,-1.063183391,0.010738863,1.057421178
5,-1.038677961,-0.004910185,1.067289257
6,-1.035968846,-0.008645546,1.057627964
7,-1.063191164,0.01124157,1.042986351
8,-1.047379833,0.012572651,1.047806507
9,-1.058409774,0.000715528,1.076294971
10,-1.03983438,0.003158454,1.028841799
11,-1.07896564,-0.009636992,1.065783256
12,-1.063224149,0.027532672,1.050402981
13,-1.04790144,-0.006459198,1.073638523
14,-1.059434462,-0.008248203,1.054803663
15,-1.043726379,-0.019394617,1.072070217
16,-1.07083599,0.002250496,1.068218768
17,-1.083324957,0.024122992,1.052083021
18,-1.050991696,0.008674322,1.047378159
19,-1.056642985,0.005165773,1.044747156
20,-1.046712065,0.01191057,1.062932962
21,-1.039682645,0.001051083,1.057408714
22,-1.074822581,-0.00320225,1.060688543
23,-1.047855127,0.020176264,1.051297855
24,-1.04646607,0.001484396,1.041493541
25,-1.062616628,0.006255869,1.055525208
26,-1.05048424,0.028736267,1.03724789
27,-1.060711592,0.01467482,1.021660858
28,-1.051695782,0.010937464,1.042576277
29,-1.055922699,0.020598734,1.049296653
30,-1.061472785,0.025545571,1.03247062
31,-1.056279188,0.008925753,1.061258596
32,-1.057903934,0.008825561,1.05593487
33,-1.081516659,0.010492795,1.05443182
34,-1.056905186,0.026260675,1.032643765
35,-1.058000964,0.026481488,1.038277107
36,-1.061740917,0.00643462,1.061873037
37,-1.103511536,0.010517489,1.06784116
38,-1.041782445,0.021291292,1.065273005
39,-1.051852518,0.002002626,1.046180427
40,-1.073157358,-0.006905849,1.071472049
41,-1.051695925,0.014846307,1.053900844
42,-1.057016152,0.007368573,1.033777022
43,-1.072898924,0.013799063,1.043660277
44,-1.059836787,0.000350318,1.070225954
45,-1.100717312,0.017465777,1.061292011
46,-1.04872905,0.017044936,1.064007688
47,-1.071989948,0.004085233,1.069305158
48,-1.079728776,0.015861061,1.072467905
49,-1.081474054,0.023266792,1.040802574
50,-1.080681401,0.00810986,1.086419028
51,-1.084138763,0.019120336,1.067995012
52,-1.059686673,0.011906197,1.060664803
53,-1.096585917,0.026359761,1.066866988
54,-1.072328526,0.015941272,1.035982096
55,-1.051144439,-0.005479772,1.070838189
56,-1.073514968,0.028826389,1.028662473
57,-1.098343766,0.003947099,1.071857077
58,-1.069051665,0.002203792,1.059569877
59,-1.068421239,-0.004210883,1.073491114
60,-1.062242299,0.02197746,1.057845175
61,-1.087922323,0.00476712,1.054981196
62,-1.069467169,0.014521711,1.053346705
63,-1.098709112,0.005495932,1.066192162
64,-1.083559412,0.015501519,1.078186136
65,-1.072937518,0.039029909,1.049522275
66,-1.058052474,0.007995714,1.072454411
67,-1.08438158,0.031678915,1.081965667
68,-1.090594941,0.017364654,1.058875436
69,-1.097434521,0.003957255,1.095500743
70,-1.06356672,0.03294882,1.043286455
71,-1.086419487,0.009517012,1.081821263
72,-1.110398829,0.022246427,1.065218699
73,-1.099424595,0.034041561,1.068117088
74,-1.11044265,0.027832115,1.078192538
75,-1.096581709,0.018582676,1.075020719
76,-1.105181569,0.019134946,1.07670089
77,-1.072883672,0.030023769,1.060411972
78,-1.097691453,0.019791014,1.084807563
79,-1.110328633,0.002306029,1.07925362
80,-1.094356984,0.021378772,1.087799907
81,-1.069094992,0.013779505,1.059517658
82,-1.094118965,0.01953981,1.076543409
83,-1.111746627,0.014975787,1.084421843
84,-1.091234064,0.027026321,1.077354223
85,-1.082503223,0.028238855,1.054129374
86,-1.086128896,0.027067419,1.047709328
87,-1.100955707,0.018454684,1.104145861
88,-1.096655124,0.008047238,1.069432557
89,-1.104755521,0.010395124,1.09156149
90,-1.086424363,0.010985079,1.084601688
91,-1.107028979,0.016641521,1.083835161
92,-1.097086018,0.023582386,1.08422966
93,-1.113404232,0.016043233,1.084660381
94,-1.094591111,0.012884748,1.09672147
95,-1.092502069,0.004685917,1.094975102
96,-1.102576643,0.029380668,1.076170164
97,-1.083694398,0.017598053,1.077955091
98,-1.10820536,0.007353498,1.089249343
99,-1.107046896,0.027874569,1.065154707
100,-1.115724194,0.028828453,1.076146877
101,-1.110623521,0.022621232,1.080563444
102,-1.11734246,-0.009972079,1.093385565
103,-1.11040979,0.00253869,1.092479736
104,-1.102025789,0.015125295,1.086611587
105,-1.09800328,0.013868722,1.085848331
106,-1.109629816,0.014198395,1.096101248
107,-1.114250028,0.014803633,1.08798219
108,-1.120065749,0.023691489,1.073580939
109,-1.122044313,0.0126248,1.097809625
110,-1.124790549,0.011831539,1.080089891
111,-1.098226243,0.011797763,1.070430267
112,-1.113443363,0.031582596,1.105089349
113,-1.12052601,0.016946747,1.076571721
114,-1.106542081,0.026625238,1.077645028
115,-1.111494321,0.042942995,1.063251406
116,-1.099019897,0.012545797,1.099741173
117,-1.10890339,0.013688415,1.078517628
118,-1.094616973,0.019837188,1.086696404
119,-1.077380317,0.019829147,1.07417146
120,-1.11604501,0.029326206,1.085512727
121,-1.092154354,0.016410009,1.070905226
122,-1.114597857,0.026886662,1.065780675
123,-1.104928368,0.005013314,1.087776881
124,-1.095216662,-0.011138515,1.088868719
125,-1.107354975,0.013810992,1.091281754
126,-1.120957839,0.015602846,1.101469737
127,-1.11064859,0.029061724,1.077150321
128,-1.110358196,0.020125191,1.097909725
129,-1.108164078,0.032699525,1.061425912
130,-1.107819963,0.00542173,1.115000618
131,-1.114894527,0.02149313,1.081744462
132,-1.109361166,0.037438322,1.072345024
133,-1.109633976,0.017150386,1.078635824
134,-1.116535115,0.029699021,1.086812925
135,-1.098956543,0.003337214,1.094767261
136,-1.10905804,0.032783113,1.097606963
137,-1.117634559,0.023044186,1.07240296
138,-1.135517496,0.011585517,1.094960034
139,-1.122141945,0.024240339,1.10962534
140,-1.124751502,0.022433046,1.102933657
141,-1.128371572,0.025219734,1.09643752
142,-1.100341809,0.040978711,1.085355568
143,-1.152408051,0.025295391,1.099494207
144,-1.096220154,0.023613057,1.094823265
145,-1.118483013,0.021343369,1.096196127
146,-1.101753986,0.027417637,1.070982242
147,-1.132893133,-0.00356083,1.110692143
148,-1.11148209,0.030690443,1.093705863
149,-1.131661278,0.040117661,1.091687131
150,-1.117200291,0.01100789,1.097667187
151,-1.142529631,0.019871595,1.091977328
152,-1.140067893,0.024932759,1.117012072
153,-1.120922524,0.015166155,1.104820585
154,-1.120536041,-0.001165426,1.100769854
155,-1.123487633,0.03098426,1.078541028
156,-1.13586455,0.001938545,1.113655579
157,-1.126876378,0.015016856,1.099272251
158,-1.114320666,0.008402471,1.10242002
159,-1.119751543,0.030379442,1.083844858
160,-1.124148881,0.027564781,1.096560371
161,-1.122627467,0.012298849,1.108181942
162,-1.122771531,0.023152093,1.084017748
163,-1.13149485,0.016540432,1.110277742
164,-1.12526167,0.033089928,1.110858184
165,-1.143798077,0.030566125,1.100420964
166,-1.104456151,0.015142333,1.094486958
167,-1.124814022,0.014661294,1.104574144
168,-1.141776216,0.026277514,1.117267448
169,-1.118577838,0.025803533,1.100755727
170,-1.128674674,0.012773415,1.094243491
171,-1.128512537,0.024967019,1.093130124
172,-1.124589103,0.024827017,1.10413937
173,-1.129652876,0.021327165,1.113660336
174,-1.136103666,0.024910034,1.105961674
175,-1.135015798,0.034628728,1.11314829
176,-1.141026813,0.03281967,1.102533919
177,-1.13696568,0.01973734,1.112739336
178,-1.131225109,0.025883555,1.113643271
179,-1.116923803,0.022683466,1.105437136
180,-1.12578584,0.028581009,1.0981902
181,-1.118873,0.0335788,1.093700635
182,-1.128836632,0.022957107,1.117415524
183,-1.154009265,0.037880132,1.116274679
184,-1.122589159,0.018372715,1.101084465
185,-1.131338745,0.017841564,1.105797833
186,-1.145093107,0.021653179,1.11060161
187,-1.144117934,0.035168698,1.103777319
188,-1.130754608,0.021646647,1.115453255
189,-1.14120208,0.02864812,1.116803056
190,-1.152168477,0.011273919,1.135710448
191,-1.13090331,0.005318276,1.119364232
192,-1.133682108,0.026960718,1.097101784
193,-1.139939541,0.034378426,1.103906542
194,-1.141588718,0.037365891,1.116260248
195,-1.129822469,0.018911163,1.116862428
196,-1.126643211,0.031632323,1.094653505
197,-1.137452155,0.017840184,1.115978175
198,-1.143221176,0.019862396,1.109897339
199,-1.11384005,0.013574605,1.113658988
200,-1.121871483,0.04362794,1.115934128
201,-1.145834887,0.016039896,1.128820753
202,-1.134376752,0.00881287,1.129123396
203,-1.11233688,0.013735424,1.121066684
204,-1.141250581,0.009225067,1.144859922
205,-1.139725083,0.007117784,1.120178145
206,-1.154565293,0.015442678,1.103179199
207,-1.147418833,0.016958345,1.116120952
208,-1.13612321,0.003312673,1.10086416
209,-1.127170795,0.0263281,1.103144467
210,-1.142018515,0.024474136,1.111195403
211,-1.129035437,0.030263891,1.114907026
212,-1.149403131,0.02453142,1.12706973
213,-1.122108859,0.014416731,1.101812488
214,-1.127369672,0.009589897,1.129916924
215,-1.150045121,0.021854569,1.106508958
216,-1.127964473,0.02208474,1.113406545
217,-1.150001776,0.020894288,1.129755962
218,-1.128547245,0.005894412,1.114687502
219,-1.138892972,0.024786797,1.132977331
220,-1.143747276,0.00798327,1.133684582
221,-1.144563526,0.013945774,1.107178587
222,-1.160896939,0.010128883,1.128313971
223,-1.132501221,0.026174107,1.118727481
224,-1.144996077,0.033473287,1.113390303
225,-1.138266498,0.038548324,1.102847934
226,-1.144457501,0.022144852,1.12917645
227,-1.147210991,0.019302775,1.110349375
228,-1.142611265,0.027786992,1.125150508
229,-1.16297738,0.015497157,1.132064497
230,-1.140743679,0.022673966,1.121399099
231,-1.154308158,0.017692582,1.119664043
232,-1.142461461,0.005540761,1.12550565
233,-1.141035563,0.028681958,1.113533223
234,-1.14633342,0.018141289,1.121094906
235,-1.123018533,0.020659829,1.104989278
236,-1.146837872,0.002215086,1.120915359
237,-1.157634753,0.036795462,1.109988844
238,-1.148824358,0.014147767,1.1231318
239,-1.155250573,0.016246479,1.132251835
240,-1.128787571,0.017408337,1.092256618
241,-1.146755731,0.022120204,1.113735515
242,-1.143894273,0.025164727,1.130985534
243,-1.143520337,0.009170288,1.121723527
244,-1.167386067,0.034970922,1.118817806
245,-1.13051675,0.028524948,1.119872141
246,-1.150219816,0.028598638,1.128367817
247,-1.148569435,0.012913165,1.135350996
248,-1.156932396,0.00988477,1.132988626
249,-1.129572493,0.027402942,1.113467169
250,-1.145377749,0.0202656,1.134916091
251,-1.135186726,0.025760354,1.128926349
252,-1.143071377,0.01870899,1.122606558
253,-1.147139162,0.024126925,1.117774379
254,-1.157998604,0.040288277,1.120179152
255,-1.156883603,0.034757257,1.114778537
256,-1.154963332,0.039560191,1.121808165
257,-1.129052848,0.004535191,1.129778934
258,-1.148387176,0.026500702,1.137814915
259,-1.150688177,0.023262514,1.106210268
260,-1.147448897,0.020364793,1.102202016
261,-1.16425035,0.014676965,1.139148092
262,-1.154517692,0.033700323,1.10983507
263,-1.149937207,0.021428369,1.135450059
264,-1.158277458,0.017639527,1.12034964
265,-1.15656687,0.020351668,1.135330385
266,-1.132871968,0.030074275,1.127434921
267,-1.166038233,0.035973908,1.140294504
268,-1.149183118,0.000768345,1.131668526
269,-1.153094554,0.033265835,1.115110856
270,-1.164963353,0.030749986,1.138640255
271,-1.156352872,0.007114586,1.150392747
272,-1.168046772,0.01871312,1.142132086
273,-1.143873757,0.034155939,1.114774597
274,-1.147325504,-0.007413338,1.142432773
275,-1.149976426,0.016794096,1.124566001
276,-1.162849587,0.017059835,1.139679599
277,-1.14751538,0.007290851,1.146996337
278,-1.155672348,-7.64E-05,1.14098981
279,-1.162751073,0.03884064,1.134874707
280,-1.143906736,0.018663706,1.117101473
281,-1.155090821,0.019041249,1.122130096
282,-1.135520148,0.023052379,1.119970757
283,-1.173091084,0.037300972,1.133176303
284,-1.154451936,0.026947363,1.140238476
285,-1.163777119,0.018376835,1.128691143
286,-1.16536054,0.031592434,1.123164433
287,-1.158461934,0.012314307,1.14908722
288,-1.170006335,0.042442372,1.122600573
289,-1.14581877,0.013626507,1.135250384
290,-1.162608403,0.037324805,1.128737396
291,-1.160323113,0.034470927,1.162660581
292,-1.148841292,0.008364323,1.124469727
293,-1.158908731,0.009335267,1.14679991
294,-1.141213977,0.023207684,1.104968333
295,-1.156937307,0.004256512,1.131781751
296,-1.146349633,0.021045875,1.137026322
297,-1.147029835,0.037961999,1.132938236
298,-1.159867966,0.034423638,1.138632953
299,-1.16936087,0.028915706,1.150354701
300,-1.147929102,0.018895946,1.148042959
301,-1.14722138,0.017946273,1.130930603
302,-1.163492662,0.020723608,1.132559776
303,-1.162378472,0.009906105,1.145006412
304,-1.164706522,0.007594839,1.159863079
305,-1.16887747,0.017013283,1.145139891
306,-1.152760589,0.025514862,1.141776192
307,-1.160694987,0.022503677,1.136793292
308,-1.165043497,0.016386699,1.132516277
309,-1.154875958,-0.005291886,1.13998577
310,-1.180293769,0.027285204,1.159112918
311,-1.157647777,0.018658569,1.15984602
312,-1.153077471,0.007103759,1.151078016
313,-1.184270805,0.046972215,1.138042718
314,-1.144747996,0.024104463,1.141481638
315,-1.180068266,0.02547027,1.156711519
316,-1.160275108,0.015017222,1.144540143
317,-1.168191779,0.026958358,1.143203849
318,-1.168543619,0.018411763,1.159300739
319,-1.155869979,0.013591564,1.143730372
320,-1.149189109,0.025069092,1.128925008
321,-1.178700703,0.03272392,1.152382714
322,-1.150231123,0.044953207,1.127954972
323,-1.14219597,-0.001457894,1.153335482
324,-1.15746606,0.01887111,1.16803028
325,-1.150481993,0.023154129,1.139692658
326,-1.165685844,0.005424385,1.138124096
327,-1.190805268,0.0282003,1.16640228
328,-1.158403355,0.00796357,1.151434207
329,-1.169663531,0.019028081,1.154089135
330,-1.144134551,0.015834948,1.129955178
331,-1.143889612,0.011259784,1.131413281
332,-1.177119172,0.043352786,1.130531424
333,-1.15336867,0.021995727,1.135234904
334,-1.169803196,0.017213819,1.147338384
335,-1.181579262,0.029605798,1.152427101
336,-1.161037487,0.014409068,1.136259848
337,-1.17242682,0.032600027,1.124574023
338,-1.152011204,0.021815995,1.146144342
339,-1.168702608,0.021234768,1.142373091
340,-1.153009593,0.017476317,1.150940943
341,-1.176924378,0.045152348,1.140465403
342,-1.17292456,0.041269336,1.137727058
343,-1.156231147,0.011728914,1.157058215
344,-1.165168589,0.021724073,1.142524672
345,-1.172205663,0.018450609,1.130748308
346,-1.173791891,0.02525288,1.171529371
347,-1.177895796,0.01531578,1.15147419
348,-1.158533865,0.018602062,1.143193209
349,-1.164514089,0.022175292,1.136991614
350,-1.165029395,0.015309793,1.156337309
351,-1.171970904,0.025458284,1.150842822
352,-1.16461401,0.025394233,1.160389167
353,-1.175984198,0.001794196,1.161112082
354,-1.18425864,0.026543552,1.162452674
355,-1.152963459,0.011026312,1.163581848
356,-1.17011106,0.020081906,1.149681056
357,-1.159162259,0.010121562,1.146750933
358,-1.142252791,0.027898531,1.13884213
359,-1.147321063,0.018897153,1.148923713
360,-1.18034839,0.02712765,1.161337531
361,-1.169286972,0.019399188,1.148833799
362,-1.169847512,0.032997249,1.147227174
363,-1.177351785,0.016395034,1.157915014
364,-1.16882984,0.023901299,1.159807467
365,-1.172074121,0.022991323,1.157030302
366,-1.168601632,0.036539258,1.122747809
367,-1.166808969,0.03766487,1.128366333
368,-1.186439461,0.025651872,1.169769442
369,-1.191203773,0.02853717,1.154910851
370,-1.162377083,0.011911412,1.1538827
371,-1.141173714,0.006577008,1.146919495
372,-1.169020867,0.005762287,1.176406568
373,-1.141171885,0.010900845,1.134364402
374,-1.186879921,0.040131819,1.154644251
375,-1.164485461,0.016436165,1.156494856
376,-1.197421008,0.009431695,1.160726136
377,-1.18282131,0.016444652,1.162448347
378,-1.169927812,0.025109908,1.134660298
379,-1.156923157,0.02037327,1.154285198
380,-1.175537127,0.011669324,1.167331421
381,-1.190129673,0.021819033,1.169165349
382,-1.152672493,0.022393611,1.148592281
383,-1.164791822,0.024964768,1.153309137
384,-1.185881776,0.021139053,1.156080252
385,-1.18757304,0.012363919,1.15481723
386,-1.166642505,0.017810765,1.168837577
387,-1.155949897,0.004526561,1.150390369
388,-1.163095051,0.011262742,1.164113128
389,-1.172251022,0.016348764,1.154623294
390,-1.18096537,0.027568881,1.137275332
391,-1.187952995,0.029878855,1.140994155
392,-1.175030786,0.030226001,1.164562595
393,-1.175671351,0.042115668,1.142913413
394,-1.166786271,0.007361858,1.157307225
395,-1.184338564,0.047903957,1.148595649
396,-1.172460806,0.037763081,1.124778366
397,-1.169062728,0.00820089,1.164535004
398,-1.179894686,-0.001923772,1.183164364
399,-1.186051029,0.0229953,1.170997232
