Epoch,Training Loss,Test Loss,Test Accuracy
1,2.0283540010452272,1.8907357454299927,0.9054
2,1.8041619312763215,1.7278797683601608,0.9245
3,1.6782454150915145,1.6351766265081074,0.9309
4,1.6077396374940873,1.5829511945119161,0.9381
5,1.5679833136796952,1.5578522660775098,0.9408
6,1.5442200796604157,1.5357687323393223,0.9461
7,1.5292803401947022,1.52514720605519,0.9499
8,1.5192219376564027,1.5181818893569672,0.9513
9,1.5115001313686371,1.516552068516166,0.9538
10,1.5064450904130935,1.5097115453845726,0.9558
11,1.5024090305566788,1.508593684898879,0.9562
12,1.4988938920497894,1.5024375101763332,0.9594
13,1.4961332457065581,1.499915159391072,0.9618
14,1.4934362037181854,1.5025715121252095,0.9575
15,1.4913596338033677,1.49678522883775,0.9646
16,1.4897834169864654,1.4955611136145222,0.965
17,1.4882384086847305,1.4975651888076418,0.9622
18,1.4865472910404205,1.4986662043782766,0.9615
19,1.4854418647289276,1.4953965669620537,0.9643
20,1.4842532171010971,1.4925614738178825,0.9665
